bedrooms,bathrooms,K-sqft_living,K-sqft_lot,floors,waterfront,view,condition,K-sqft_above,K-sqft_basement,CARO
2,1,2,1,1,0,0,3,0,0,1
3,1,2,1,1.5,0,0,4,0,0,1
4,2.25,0,1,1,0,0,4,0,1,0
4,2.75,1,0,2,0,0,3,1,1,0
3,3,0,1,1,0,0,4,2,2,0
2,1,2,1,1,0,0,5,0,0,2
3,2.25,0,1,1,0,0,5,0,1,0
3,2.5,1,1,2,0,0,3,1,0,0
3,1.5,2,1,1,0,0,5,0,0,2
4,2.5,0,1,2,0,0,3,2,0,1
4,3.5,1,1,2,0,0,3,1,2,0
3,2.5,0,1,1,0,3,3,2,2,1
5,2.75,1,1,1,0,0,4,2,1,0
3,2.5,0,1,2,0,0,3,2,0,1
4,1.75,0,0,1,0,0,3,2,2,0
3,1.75,2,1,1,0,0,4,2,0,2
4,2.25,0,1,2,0,0,4,1,0,2
4,2.5,0,1,2,0,0,3,1,0,1
4,2.5,0,1,2,0,0,3,1,0,0
3,1.5,2,1,1,0,0,3,0,0,2
3,2.25,0,1,1,0,0,3,0,1,0
4,2.5,0,0,2,0,0,3,1,0,1
3,1,2,0,1,0,0,3,0,0,2
3,1,2,1,1,0,0,3,0,0,0
3,2.5,1,1,2,0,3,3,2,2,2
3,1,0,1,1,0,0,4,2,2,0
3,1,2,1,1,0,0,4,0,0,2
3,2.25,0,1,1,0,0,3,0,2,1
3,2.5,0,1,2,0,0,3,2,0,2
4,2.5,1,1,1,0,0,3,2,1,0
5,2.5,0,1,1,0,0,4,0,1,0
3,2.75,1,1,2,0,1,3,1,0,0
4,3,1,1,1,0,0,4,2,1,0
3,1,2,1,1,0,0,3,0,0,2
3,2.75,0,1,2,0,0,3,1,0,2
4,4.25,1,1,2,0,0,4,1,0,1
4,1.75,2,1,1,0,0,3,0,2,1
3,2.75,0,1,1,0,0,4,0,1,0
3,1.75,0,1,1,0,0,4,0,2,1
3,2.75,0,1,1,0,0,3,0,2,2
6,2,0,1,1,0,0,3,0,1,0
4,1.75,2,1,1,0,0,3,0,0,1
4,2.25,0,1,1,0,0,4,0,1,0
3,1.75,2,1,1,0,0,3,0,2,2
4,2.75,0,1,1,0,0,3,0,2,1
4,2.5,1,1,2,0,0,3,1,0,1
3,2.5,0,1,1,0,1,3,0,1,0
5,1.5,2,1,1.5,0,0,4,2,0,1
4,2.25,0,1,1,0,0,4,0,2,0
3,1,2,1,1,0,0,4,0,0,2
3,1.75,2,1,1,0,0,4,0,2,1
3,2.5,2,1,2,0,0,3,2,0,1
4,1.75,2,1,1,0,0,3,0,2,1
5,1.75,0,1,1,0,0,3,0,1,0
